step,timestamp,appliance,state,reason
2520,1900-01-01 07:00:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez opened Hobbs Cafe and unlocked the cafe door.
2550,1900-01-01 07:05:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2551,1900-01-01 07:05:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2552,1900-01-01 07:05:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2553,1900-01-01 07:05:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2554,1900-01-01 07:05:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2555,1900-01-01 07:05:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2556,1900-01-01 07:06:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2557,1900-01-01 07:06:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2558,1900-01-01 07:06:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2559,1900-01-01 07:06:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2560,1900-01-01 07:06:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez turned on the lights in Hobbs Cafe
2580,1900-01-01 07:10:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is setting up the cafe counter in Hobbs Cafe.
2853,1900-01-01 07:55:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2854,1900-01-01 07:55:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2855,1900-01-01 07:55:50,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2856,1900-01-01 07:56:00,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2857,1900-01-01 07:56:10,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2858,1900-01-01 07:56:20,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2859,1900-01-01 07:56:30,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
2860,1900-01-01 07:56:40,lightings in Isabella Rodriguez's house,True,Isabella Rodriguez is sleeping in her bedroom.
